PhotoID,UserID,Accuracy,Latitude,Longitude,DateTaken
4684204212,22602880@n00,16.0,-122.401334,37.782166,08-06-2010
5377288276,27793548@n06,13.0,-122.512321,37.780755,19-01-2011
265139537,53687766@n00,14.0,-122.412157,37.809343,08-10-2006
7506210980,70221037@n00,16.0,-122.458355,37.792083,04-07-2012
4272303739,34415916@n07,13.0,-122.449407,37.744099,12-01-2010
9177350502,95881098@n00,16.0,-122.393628,37.795427,30-06-2013
234874425,10263754@n00,10.0,-122.408981,37.795135,03-09-2006
4906821454,44124466908@n01,15.0,-122.430107,37.766578,17-08-2010
4179492001,54284499@n00,13.0,-122.410946,37.761317,12-12-2009
3946502546,44124466908@n01,16.0,-122.402157,37.788988,22-09-2009
3121547816,20688578@n00,16.0,-122.455941,37.786559,18-12-2008
4564610938,45013875@n00,16.0,-122.436167,37.762,29-04-2010
8453794735,43498286@n00,16.0,-122.4119,37.788102,07-02-2013
4618626157,53022145@n00,13.0,-122.44194,37.773598,16-05-2010
317691209,33328641@n00,16.0,-122.455469,37.801103000000005,08-12-2006
7066751805,28577026@n02,16.0,-122.405517,37.802458,28-03-2012
7153846207,79551604@n00,16.0,-122.404198,37.770577,07-05-2012
2947800504,7491409@n05,14.0,-122.457776,37.771868,05-10-2008
1807559533,71453924@n00,16.0,-122.407305,37.790277,30-10-2007
4042261720,44124466908@n01,15.0,-122.394218,37.794338,24-10-2009
6247749454,33093170@n03,16.0,-122.400278,37.806388,09-10-2011
4887123460,44124466908@n01,15.0,-122.419195,37.779432,12-08-2010
3105910588,82173624@n00,16.0,-122.42361499999998,37.826637,14-12-2008
307096702,46216844@n00,16.0,-122.446714,37.806787,28-04-2004
8052380396,49503048699@n01,16.0,-122.3946,37.7865,03-10-2012
3304414029,71401718@n00,13.0,-122.4449,37.75299,19-02-2009
12282870655,81851947@n00,16.0,-122.411961,37.75281,01-02-2014
8513481430,77001263@n00,16.0,-122.403834,37.787333,07-09-2012
4529830482,55514420@n00,16.0,-122.430557,37.785338,17-04-2010
5269843200,44124466908@n01,15.0,-122.412124,37.779305,16-12-2010
4099536913,7972318@n06,16.0,-122.370166,37.8095,07-11-2009
3354892919,62449696@n00,16.0,-122.431167,37.7655,14-03-2009
5601959835,60323517@n02,16.0,-122.413187,37.808669,08-04-2011
390804577,22257962@n00,16.0,-122.394293,37.794512,14-02-2007
4859715714,94734319@n00,16.0,-122.457667,37.729,23-10-2009
9704724111,77179348@n00,16.0,-122.452012,37.803872,02-09-2013
7701641746,27703797@n06,16.0,-122.405334,37.781166,03-08-2012
2438519654,24046097@n00,15.0,-122.402468,37.788624,15-03-2008
4626087002,32781576@n04,16.0,-122.405359,37.794797,16-05-2010
6789811194,51502166@n03,13.0,-122.471466,37.805715,28-01-2012
8441360112,30275244@n04,16.0,-122.406116,37.788183,02-10-2007
